"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
2006,"44",87,0,347,227,1171,116,244,83,63,672,3,0,0,679,274,152,145,195,21,0,217,234,0,1,0,294,49,0,0,9,0,0,0,745,22,56,349,309,560,27,379,33,487,749,103,2,356,349,0,100,0,0,2006-10-30
2006,"45",23,132,347,137,1292,49,171,37,52,643,8,0,0,348,288,0,120,358,74,35,244,429,224,0,324,0,14,103,160,46,58,0,0,549,8,18,358,119,257,83,254,0,483,670,101,0,373,488,4,84,0,163,2006-11-06
2006,"46",0,0,533,135,987,100,31,64,0,878,12,1,0,0,356,187,197,0,67,50,0,494,517,0,0,248,0,81,13,71,0,0,0,381,0,42,339,90,0,25,557,0,509,0,118,20,396,394,0,73,0,0,2006-11-13
2006,"47",48,32,232,77,653,0,54,59,38,423,21,2,0,322,0,99,106,61,48,41,205,125,256,0,0,139,23,107,7,4,63,0,0,572,12,46,0,209,211,19,108,48,324,0,0,18,207,243,20,78,0,0,2006-11-20
2006,"48",91,0,216,223,1244,0,126,89,58,789,15,0,0,0,464,0,208,162,31,49,348,407,389,0,330,240,29,112,0,17,0,0,0,867,7,52,0,286,654,3,448,57,564,816,85,18,617,320,50,120,0,77,2006-11-27
2006,"49",100,103,408,153,1200,0,347,107,42,750,12,0,0,0,0,95,130,691,122,22,201,283,423,0,205,268,47,97,207,19,0,122,0,800,5,89,0,255,347,57,583,86,490,751,0,21,473,398,44,89,0,198,2006-12-04
2006,"50",51,49,317,0,1081,0,613,62,65,837,13,5,0,472,0,107,177,125,104,50,407,297,498,0,399,296,46,66,130,3,0,0,0,724,10,60,302,130,430,106,330,61,0,230,0,0,595,266,42,61,0,92,2006-12-11
2006,"51",63,0,457,0,1425,0,183,81,0,876,0,0,0,0,0,0,79,0,4,0,280,421,804,0,0,0,0,43,0,34,0,0,0,0,0,0,374,0,324,0,0,58,472,0,0,6,506,389,0,0,0,135,2006-12-18
2006,"52",0,25,436,103,0,207,0,64,0,639,5,0,0,436,0,71,0,0,0,51,314,334,857,0,294,133,0,0,0,1,0,0,0,0,6,56,0,0,343,81,330,0,255,0,0,33,0,382,14,30,0,0,2006-12-25
2007,"01",23,23,340,124,609,0,6,38,0,521,9,0,0,0,312,0,25,40,33,29,331,256,441,0,0,103,0,0,0,36,93,0,0,39,5,115,325,0,10,0,399,37,159,762,0,0,348,216,9,0,7,95,2007-01-08
2007,"02",0,18,417,189,298,299,0,68,72,581,1,0,0,822,0,0,71,48,38,0,324,306,568,0,54,160,0,0,0,43,136,0,0,428,0,4,0,0,0,0,504,45,477,0,86,0,327,426,50,76,0,0,2007-01-15
2007,"03",35,94,317,132,0,0,0,100,0,741,333,0,0,550,0,122,295,91,57,42,154,212,281,0,0,0,24,0,0,37,216,0,0,628,0,44,168,0,419,43,501,52,498,424,92,18,442,97,16,81,15,146,2007-01-22
2007,"04",119,68,467,185,1140,155,0,69,155,967,270,0,0,709,428,178,284,347,7,0,377,318,323,0,0,304,0,110,0,24,177,0,0,937,9,59,254,173,549,60,507,47,644,592,0,25,463,524,45,75,31,236,2007-01-29
2007,"05",39,80,162,115,1595,45,0,87,0,0,29,0,0,402,590,156,118,115,0,72,351,493,435,0,0,256,15,74,140,8,148,0,0,644,0,10,222,394,664,78,509,46,519,570,110,23,474,428,29,121,0,193,2007-02-05
2007,"06",66,87,59,90,1403,88,197,72,0,0,289,1,0,0,166,0,1,170,44,0,0,360,414,0,0,193,18,0,0,37,130,161,0,718,23,13,146,145,561,95,438,67,570,827,97,19,485,413,29,109,0,0,2007-02-12
2007,"07",0,84,66,100,0,98,0,70,0,0,322,0,0,0,0,170,123,116,0,49,300,326,431,0,0,219,14,36,186,31,152,0,0,264,0,43,0,196,482,62,541,55,623,857,0,18,342,108,27,133,0,0,2007-02-19
2007,"08",9,106,8,225,1029,75,299,73,85,0,0,0,26,692,0,89,170,46,93,39,285,275,406,0,0,226,0,64,0,11,113,69,0,428,24,12,215,185,494,67,453,49,444,0,89,21,401,401,22,130,0,157,2007-02-26
2007,"09",0,0,66,237,1831,24,0,74,0,0,3,4,0,430,0,81,192,51,99,33,178,397,398,1,355,375,0,0,107,11,201,0,0,681,14,31,283,160,0,68,522,49,654,698,0,4,530,412,34,118,0,228,2007-03-05
2007,"10",34,64,238,232,1338,0,198,27,0,0,0,2,0,596,0,124,174,96,126,71,0,321,367,1,232,276,39,136,188,33,254,18,0,689,19,145,393,204,570,64,545,40,720,0,60,12,523,353,31,85,29,217,2007-03-12
2007,"11",101,56,184,0,1060,0,0,111,0,0,0,0,0,690,0,221,163,81,48,0,0,315,379,0,0,196,12,0,143,8,194,0,0,993,0,62,0,156,491,77,483,36,612,909,0,0,611,451,28,0,28,196,2007-03-19
2007,"12",61,62,257,173,496,78,231,69,93,0,0,0,0,365,361,125,0,123,46,55,100,291,403,0,0,311,14,58,0,31,166,0,0,0,13,58,472,114,514,61,0,43,585,988,0,17,437,0,0,94,24,0,2007-03-26
2007,"13",0,0,201,227,1122,0,171,66,0,0,1,0,133,662,0,122,187,149,94,50,945,383,325,0,539,0,0,97,0,8,0,0,0,1207,3,121,428,332,539,42,404,51,576,949,67,10,615,209,0,89,16,210,2007-04-02
2007,"14",70,79,72,184,1183,0,207,41,92,0,0,0,23,575,0,0,0,68,60,55,509,0,309,0,0,0,3,0,174,20,0,0,0,645,33,27,129,153,483,69,609,60,492,997,0,21,503,338,0,153,6,0,2007-04-09
2007,"15",100,60,105,176,1184,0,125,73,0,0,0,1,128,401,370,140,0,295,34,41,796,376,354,0,0,0,21,0,0,31,0,0,0,547,26,18,107,150,438,45,493,51,553,728,36,28,563,158,0,136,16,128,2007-04-16
2007,"16",0,85,38,193,937,49,44,50,72,0,0,0,43,560,0,0,71,219,26,0,812,253,362,0,0,0,12,0,0,26,141,26,0,507,0,208,270,172,531,22,447,37,437,1191,78,14,542,621,30,75,0,137,2007-04-23
2007,"17",64,54,80,203,535,0,157,47,113,0,0,4,0,632,0,110,0,357,52,34,487,201,462,0,0,0,12,26,0,8,126,0,0,48,18,506,0,144,420,98,1944,61,585,1198,100,0,527,311,56,94,14,87,2007-04-30
2007,"18",22,80,23,205,1366,59,62,94,96,0,0,0,0,618,0,113,180,206,0,36,348,296,412,0,178,0,5,141,0,22,0,0,0,1033,0,439,243,191,484,79,470,41,483,1112,153,0,510,407,41,110,26,147,2007-05-07
2007,"19",0,79,45,93,1194,64,266,58,97,0,0,2,0,468,327,122,64,134,85,49,323,153,352,2,415,0,1,74,135,33,0,0,0,769,8,274,170,138,1465,68,0,52,546,1016,115,0,497,340,58,100,0,150,2007-05-14
2007,"20",51,67,34,0,1772,0,300,43,94,0,0,0,0,481,0,0,316,194,15,49,537,500,493,0,0,0,9,85,0,2,0,0,0,959,0,91,0,299,360,69,569,43,464,0,137,26,608,306,21,106,21,161,2007-05-21
2007,"21",70,72,8,171,1565,112,0,24,97,0,0,0,0,655,0,0,0,174,0,0,0,387,603,0,0,0,0,0,67,33,0,0,0,479,0,75,260,133,483,72,353,57,521,1196,0,31,432,317,14,102,11,229,2007-05-28
2007,"22",0,74,11,124,894,95,374,31,85,0,0,0,0,0,293,119,147,115,0,49,486,269,417,0,118,0,38,46,0,3,0,0,0,0,0,49,0,0,393,72,270,44,459,0,87,11,340,381,24,75,10,0,2007-06-04
2007,"23",32,63,25,0,570,0,361,115,83,842,2,1,0,422,277,0,184,244,0,47,459,338,0,0,0,311,0,114,103,28,135,0,0,1233,0,54,265,223,491,40,0,47,466,0,0,20,387,226,33,104,16,0,2007-06-11
2007,"24",0,54,36,164,1244,251,0,54,94,1024,0,0,0,0,0,0,207,194,1,0,414,200,500,0,206,296,0,106,189,25,0,0,0,0,0,112,198,152,555,50,0,0,486,811,120,11,517,613,46,165,27,108,2007-06-18
2007,"25",0,65,45,0,1182,0,168,76,0,1187,0,0,0,635,283,74,0,170,74,0,260,277,409,0,213,278,0,99,0,27,0,0,0,218,0,48,280,219,584,1,955,51,581,749,0,0,499,0,0,134,0,233,2007-06-25
2007,"26",37,81,69,0,1596,0,96,0,82,1029,1,0,0,0,0,116,170,0,313,49,370,372,260,0,220,0,0,0,0,0,0,0,0,530,6,79,197,248,380,7,0,0,0,0,0,10,530,226,31,0,18,42,2007-07-02
2007,"27",40,73,54,127,1017,71,206,65,0,1001,0,0,0,533,216,95,130,148,289,0,226,251,255,0,174,284,18,0,216,17,0,0,0,944,6,64,0,155,501,19,0,35,424,906,0,26,481,271,17,69,11,171,2007-07-09
2007,"28",0,57,45,219,1270,0,275,122,0,1413,10,0,6,0,231,207,239,82,468,35,258,304,0,0,0,287,0,0,35,16,254,0,0,211,0,45,293,181,343,86,816,63,442,0,0,17,573,118,13,226,0,124,2007-07-16
2007,"29",46,66,66,146,1435,75,0,61,0,1496,0,0,2,535,323,0,164,89,157,46,416,305,457,1,660,276,0,0,24,6,235,0,0,170,0,107,293,193,401,62,0,36,499,1048,0,18,539,124,36,277,0,0,2007-07-23
